STATE,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,CHEATING,HURT/GREVIOUS HURT,TOTAL IPC CRIMES
NAGALAND,MOKOKCHUNG,2005,3,0,0,0,1,10,9,3,1,6,47
NAGALAND,MON,2005,15,1,1,0,5,3,25,2,1,7,84
NAGALAND,PEREN,2005,5,1,0,0,0,4,8,0,0,0,30
NAGALAND,PHEK,2005,2,1,2,2,4,5,9,1,2,6,52
NAGALAND,TUENSANG,2005,9,1,2,0,0,8,5,0,3,0,77
NAGALAND,WOKHA,2005,10,0,4,0,2,1,40,1,0,4,86
NAGALAND,ZUNHEBOTO,2005,1,1,0,0,1,8,18,4,1,0,50
NAGALAND,TOTAL,2005,87,17,26,12,80,93,294,97,41,35,1049
NAGALAND,DIMAPUR,2006,25,5,15,4,65,21,150,82,14,9,425
NAGALAND,KIPHIRE,2006,1,0,0,0,0,0,1,0,0,0,9
NAGALAND,KOHIMA,2006,31,8,10,6,10,19,67,24,16,0,266
NAGALAND,MOKOKCHUNG,2006,9,0,3,0,1,3,13,0,0,9,49
NAGALAND,MON,2006,15,2,2,4,2,6,16,0,2,10,77
NAGALAND,PEREN,2006,11,0,0,1,2,2,7,0,1,3,39
NAGALAND,PHEK,2006,9,5,0,1,2,3,11,1,2,7,56
NAGALAND,TUENSANG,2006,4,1,0,0,1,7,5,0,2,1,45
NAGALAND,WOKHA,2006,4,0,1,0,1,2,30,1,0,7,64
NAGALAND,ZUNHEBOTO,2006,14,2,0,0,0,7,27,5,0,4,73
NAGALAND,TOTAL,2006,123,23,31,16,84,70,327,113,37,50,1103
NAGALAND,DIMAPUR,2007,30,5,7,2,49,64,209,161,15,9,510
NAGALAND,KIPHIRE,2007,3,0,0,0,0,1,2,0,1,0,19
NAGALAND,KOHIMA,2007,24,4,4,4,18,17,63,21,10,6,248
NAGALAND,LONGLENG,2007,1,0,1,0,0,0,0,0,1,0,13
NAGALAND,MOKOKCHUNG,2007,17,1,3,1,2,10,13,8,1,5,84
NAGALAND,MON,2007,9,0,0,0,2,7,10,0,4,7,57
NAGALAND,PEREN,2007,3,0,1,0,1,5,8,1,0,2,28
NAGALAND,PHEK,2007,5,0,0,0,2,5,8,0,0,6,50
NAGALAND,TUENSANG,2007,7,0,1,0,0,4,9,0,1,2,51
NAGALAND,WOKHA,2007,8,3,0,0,1,1,23,2,1,9,66
NAGALAND,ZUNHEBOTO,2007,4,0,0,0,0,4,15,1,0,6,54
NAGALAND,TOTAL,2007,111,13,17,7,75,118,360,194,34,52,1180
NAGALAND,DIMAPUR,2008,64,6,31,2,66,66,182,135,15,8,558
NAGALAND,KIPHIRE,2008,4,0,0,0,0,0,6,0,0,0,21
NAGALAND,KOHIMA,2008,27,6,5,2,11,22,43,33,7,9,181
NAGALAND,LONGLENG,2008,0,0,0,0,1,2,0,0,1,0,9
NAGALAND,MOKOKCHUNG,2008,15,1,3,0,2,12,16,6,2,4,82
NAGALAND,MON,2008,12,1,0,0,2,4,23,2,2,2,84
NAGALAND,PEREN,2008,4,1,0,0,1,3,4,1,0,1,18
NAGALAND,PHEK,2008,9,2,1,1,0,2,8,0,1,4,55
NAGALAND,TUENSANG,2008,3,1,0,0,2,5,2,0,0,0,36
NAGALAND,WOKHA,2008,5,0,4,1,1,0,42,2,2,10,95
NAGALAND,ZUNHEBOTO,2008,0,1,0,0,1,11,19,3,1,8,63
NAGALAND,TOTAL,2008,143,19,44,6,87,127,345,182,31,46,1202
NAGALAND,DIMAPUR,2009,15,7,33,5,70,50,185,14,14,5,536
NAGALAND,KIPHIRE,2009,0,0,2,0,0,0,4,0,0,0,11
NAGALAND,KOHIMA,2009,8,6,12,0,11,12,63,46,7,5,178
NAGALAND,LONGLENG,2009,1,0,0,0,0,0,3,0,0,2,19
NAGALAND,MOKOKCHUNG,2009,3,0,1,0,2,0,25,0,8,1,57
NAGALAND,MON,2009,4,0,0,2,2,4,16,2,0,2,51
NAGALAND,PEREN,2009,6,2,1,0,0,6,8,1,1,6,37
NAGALAND,PHEK,2009,2,0,0,1,0,5,7,0,1,6,42
NAGALAND,TUENSANG,2009,0,1,1,0,3,1,1,0,0,0,28
NAGALAND,WOKHA,2009,6,3,0,0,3,0,21,2,0,9,58
NAGALAND,ZUNHEBOTO,2009,1,3,2,0,1,4,14,4,2,2,42
NAGALAND,TOTAL,2009,46,22,52,8,92,82,347,69,33,38,1059
NAGALAND,DIMAPUR,2010,20,4,41,2,15,29,212,15,14,11,511
NAGALAND,KIPHIRE,2010,2,0,0,0,5,0,5,0,1,0,26
NAGALAND,KOHIMA,2010,7,3,6,0,10,9,78,54,11,4,189
NAGALAND,LONGLENG,2010,0,0,0,0,0,0,1,0,0,0,12
NAGALAND,MOKOKCHUNG,2010,2,2,1,0,10,3,19,3,5,7,82
NAGALAND,MON,2010,0,0,0,0,3,0,10,0,0,0,13
NAGALAND,PEREN,2010,1,0,0,0,1,1,9,0,1,4,20
NAGALAND,PHEK,2010,4,1,1,0,3,4,10,2,1,6,45
NAGALAND,TUENSANG,2010,1,1,0,0,1,1,12,0,2,0,36
NAGALAND,WOKHA,2010,4,2,1,1,5,1,18,0,2,2,47
NAGALAND,ZUNHEBOTO,2010,4,3,0,0,10,14,23,6,2,2,78
NAGALAND,TOTAL,2010,45,16,50,3,63,62,397,80,39,36,1059
NAGALAND,DIMAPUR,2011,15,9,24,4,46,26,170,6,16,14,499
NAGALAND,KIPHIRE,2011,0,0,0,0,0,0,0,0,0,0,13
NAGALAND,KOHIMA,2011,7,0,0,0,5,28,70,59,7,10,208
NAGALAND,LONGLENG,2011,0,1,1,0,0,0,11,0,1,0,18
NAGALAND,MOKOKCHUNG,2011,3,2,2,0,3,0,21,11,2,3,56
NAGALAND,MON,2011,6,2,0,1,0,3,8,4,0,6,42
NAGALAND,PEREN,2011,4,0,0,0,0,1,5,0,0,3,22
NAGALAND,PHEK,2011,4,3,0,0,1,2,10,1,1,3,48
NAGALAND,TUENSANG,2011,1,2,4,0,2,1,17,0,3,1,42
NAGALAND,WOKHA,2011,2,1,2,1,2,0,24,3,1,5,65
NAGALAND,ZUNHEBOTO,2011,4,3,1,1,0,12,24,1,0,10,70
NAGALAND,TOTAL,2011,46,23,34,7,59,73,360,85,31,55,1083
NAGALAND,DIMAPUR,2012,26,9,16,1,36,19,202,3,20,9,524
NAGALAND,KIPHIRE,2012,4,0,0,0,0,0,2,1,1,0,11
NAGALAND,KOHIMA,2012,11,1,3,0,9,15,72,44,10,2,178
NAGALAND,LONGLENG,2012,1,0,0,0,0,0,1,0,0,1,13
NAGALAND,MOKOKCHUNG,2012,5,3,0,0,0,7,11,4,2,2,61
NAGALAND,MON,2012,6,3,4,0,4,0,19,1,1,3,62
NAGALAND,PEREN,2012,5,0,1,0,1,4,9,3,1,2,29
NAGALAND,PHEK,2012,2,1,0,0,1,5,11,1,0,2,43
NAGALAND,TUENSANG,2012,4,1,0,0,0,4,12,0,3,0,44
NAGALAND,WOKHA,2012,1,2,0,0,1,0,28,7,0,6,59
NAGALAND,ZUNHEBOTO,2012,10,1,3,0,2,11,14,1,1,3,66
NAGALAND,TOTAL,2012,75,21,27,1,54,65,381,65,39,30,1090
